day,group,snail,length,metas,cercs,arena,trial,time.eating,surfacing,bouts,shakes,shake.bout,vid.min,vid.sec,vid.length,distance,sec,mean.vel,vel.var,turn.var
1d,x,pe4,7.5,25,et3,a1,1,800,4,0,0,NA,58,43,3523,2229.629,3530,0.631622946,0.222801,4742.9
1d,x,pe5,7.4,21,et3,a3,1,233,4,3,3,1,57,9,3429,4628.7,3450,1.341652174,0.6216,2932.5
1d,x,pe6,7,15,et3,a5,1,0,17,20,259,12.95,56,8,3368,3355.2,3390,0.989734513,0.3626,1532.5
1d,x,pe7,6.8,22,et3,a7,1,93,6,21,259,12.33333333,55,17,3317,3743.2,3335,1.122398801,0.4229,2748.1
1d,x,pe8,7,22,et4,a8,2,548,5,0,0,NA,59,8,3548,3749.7,3570,1.050336134,0.404,3592
1d,x,pe9,NA,20,et6,a11,2,284,12,16,246,15.375,59,49,3589,NA,NA,NA,NA,NA
1d,x,pe10,6.3,17,et7,a13,2,0,3,12,65,5.416666667,60,44,3644,3961.8,3665,1.080982265,0.2923,2150.4
1d,x,pe11,3.9,0,et6,a2,1,0,0,0,0,NA,60,40,3640,318.7,3655,0.087195622,0.0281,2469
1d,x,pe13,5.5,8,et9,a6,1,0,6,0,0,NA,56,43,3403,1699.9,3425,0.496321168,0.2594,3243.1
1d,x,pe14,5.2,16,et10,a8,2,171,9,37,472,12.75675676,60,1,3601,4187.5,3620,1.156767956,0.5081,3066.4
1d,x,pe15,6.8,8,et6,a10,2,165,12,34,636,18.70588235,59,15,3555,4223.8,3575,1.181482517,0.4429,3060.4
1d,x,pe16,5.9,1,et9,a15,2,371,5,2,6,3,60,18,3618,3496.1,3625,0.964441379,0.3786,3121.8
1d,x,pe17,5.3,1,et5,a14,2,279,6,0,0,NA,56,26,3386,2658.3,3405,0.780704846,0.4587,4077.4
1d,x,pe18,6.1,14,et1,a2,1,531,10,15,228,15.2,60,12,3612,4918.6,3635,1.353122421,0.5419,3247.5
1d,x,pe19,NA,20,et6,a7,1,152,2,11,80,7.272727273,61,5,3665,NA,NA,NA,NA,NA
1d,x,pe20,5.7,16,et8,a13,1,1126,12,30,487,16.23333333,59,6,3546,2365.5,3565,0.663534362,0.2407,3377.4
1d,x,pe21,6.3,19,et10,a11,2,0,2,1,5,5,62,28,3748,1091.4,3770,0.289496021,0.1402,3099.6
1d,x,pe22,6,16,et10,a3,2,0,7,0,0,NA,61,22,3682,6040.2,3705,1.630283401,0.3036,1291.7
1d,x,pe23,9.3,7,et10,a9,2,1302,10,11,99,9,55,35,3335,2211.7,3365,0.657265973,0.4993,5787.8
1d,x,pe24,5.6,17,et10,a6,2,219,5,10,100,10,61,23,3683,5522.2,3705,1.490472335,0.4269,2273.8
